Iteration	mean_reward_(100_episodes)	best_mean_reward	episodes	exploration	learning_rate
2850000	-15.13	-14.75	6130	0.058374999999999996	7.6875e-05
2860000	-15.17	-14.75	6146	0.05815	7.675e-05
2870000	-14.96	-14.75	6163	0.057925	7.6625e-05
2880000	-15.12	-14.75	6179	0.0577	7.65e-05
2890000	-15.02	-14.75	6195	0.057475000000000005	7.6375e-05
2900000	-15.02	-14.75	6211	0.05725	7.625000000000001e-05
2910000	-14.71	-14.69	6227	0.057025	7.612500000000001e-05
2920000	-14.74	-14.64	6244	0.0568	7.6e-05
2930000	-15.0	-14.64	6261	0.056575	7.5875e-05
2940000	-14.94	-14.64	6278	0.056350000000000004	7.575e-05
2950000	-15.05	-14.64	6295	0.056125	7.562500000000001e-05
2960000	-14.89	-14.64	6310	0.0559	7.55e-05
2970000	-14.98	-14.64	6327	0.055675	7.5375e-05
2980000	-14.89	-14.64	6343	0.05545	7.525e-05
2990000	-14.85	-14.64	6359	0.055225	7.5125e-05
3000000	-14.89	-14.64	6376	0.055	7.500000000000001e-05
3010000	-14.92	-14.64	6393	0.054775000000000004	7.4875e-05
3020000	-15.35	-14.64	6408	0.05455	7.475e-05
3030000	-15.33	-14.64	6425	0.054325000000000005	7.462500000000001e-05
3040000	-15.25	-14.64	6440	0.0541	7.45e-05
3050000	-15.38	-14.64	6456	0.053875000000000006	7.4375e-05
3060000	-15.26	-14.64	6471	0.053649999999999996	7.425e-05
3070000	-15.09	-14.64	6487	0.053425	7.4125e-05
3080000	-14.62	-14.62	6503	0.0532	7.400000000000001e-05
3090000	-14.77	-14.61	6520	0.052975	7.3875e-05
3100000	-14.81	-14.61	6535	0.05275	7.375e-05
3110000	-14.84	-14.61	6550	0.052525	7.3625e-05
3120000	-14.94	-14.61	6565	0.0523	7.35e-05
3130000	-15.07	-14.61	6581	0.052075	7.337500000000001e-05
3140000	-15.32	-14.61	6597	0.05185	7.325e-05
3150000	-15.47	-14.61	6613	0.051625000000000004	7.3125e-05
3160000	-15.44	-14.61	6629	0.051399999999999994	7.3e-05
3170000	-15.29	-14.61	6645	0.051175	7.2875e-05
3180000	-15.25	-14.61	6660	0.050949999999999995	7.275e-05
3190000	-15.02	-14.61	6676	0.050725	7.2625e-05
3200000	-14.73	-14.61	6692	0.050499999999999996	7.25e-05
3210000	-14.67	-14.61	6708	0.050275	7.237500000000001e-05
3220000	-14.89	-14.61	6726	0.05005	7.225e-05
3230000	-14.92	-14.61	6741	0.049825	7.2125e-05
3240000	-15.06	-14.61	6758	0.0496	7.2e-05
3250000	-15.24	-14.61	6775	0.049375	7.1875e-05
3260000	-15.34	-14.61	6792	0.049150000000000006	7.175000000000001e-05
3270000	-15.24	-14.61	6808	0.048924999999999996	7.1625e-05
3280000	-15.23	-14.61	6826	0.04870000000000001	7.15e-05
3290000	-15.41	-14.61	6843	0.048475	7.1375e-05
3300000	-15.39	-14.61	6860	0.04825	7.125000000000001e-05
3310000	-15.11	-14.61	6875	0.048025	7.112500000000001e-05
3320000	-15.02	-14.61	6892	0.0478	7.1e-05
3330000	-14.97	-14.61	6908	0.047575	7.0875e-05
3340000	-14.85	-14.61	6924	0.04735	7.075000000000001e-05
